Record#,Elapsed_Time,Time_in_Community,Gender,Working,Age,Family,Hobbies,Social_Club,Political,Professional,Religious,Support_Group
1,2.2,Medium,F,Yes,32,No,No,No,No,No,Yes,No
2,8.36,Long,F,No,37,Yes,Yes,Yes,No,No,Yes,Yes
3,2.18,Medium,F,No,20,Yes,Yes,Yes,No,No,Yes,No
4,3.78,Medium,M,Yes,48,Yes,No,No,No,No,No,No
5,7.25,Short,M,No,53,No,No,No,No,Yes,No,No
6,3.85,Medium,F,Yes,24,Yes,Yes,No,No,No,No,No
7,6.53,Medium,F,No,29,Yes,No,No,No,No,Yes,Yes
8,6.82,Short,F,No,44,Yes,No,No,No,No,No,Yes
9,4.31,Medium,M,Yes,47,Yes,No,No,No,No,No,No
10,2.22,Medium,M,Yes,43,No,No,No,No,No,Yes,No
11,9.42,Medium,F,Yes,20,No,No,No,No,Yes,No,No
12,4.17,Medium,F,No,45,Yes,No,No,No,Yes,Yes,No
13,3.19,Long,M,No,45,Yes,Yes,No,No,Yes,Yes,Yes
14,9.9,Short,F,No,28,No,Yes,Yes,No,Yes,No,No
15,8.6,Medium,M,Yes,35,Yes,Yes,Yes,No,No,Yes,Yes
16,3.31,Short,M,No,17,No,No,No,No,No,No,Yes
17,6.42,Long,M,Yes,38,No,No,No,No,No,No,Yes
18,6.84,Long,F,Yes,45,No,No,No,No,No,Yes,No
19,8.99,Long,F,No,44,No,No,No,No,Yes,No,No
20,8.83,Long,F,No,36,No,No,Yes,No,Yes,Yes,Yes
21,7.58,Medium,M,No,48,Yes,Yes,No,No,No,Yes,No
22,8.95,Medium,M,Yes,29,No,No,No,No,Yes,No,No
23,6.39,Medium,M,No,49,No,No,No,No,No,Yes,No
24,7.09,Short,F,Yes,52,No,No,No,No,No,No,Yes
25,5.32,Long,M,Yes,35,Yes,No,No,No,Yes,No,No
26,4.55,Medium,F,No,27,No,No,No,No,Yes,No,No
27,5.13,Short,F,Yes,28,Yes,Yes,No,No,No,Yes,No
28,9.39,Long,F,No,41,No,No,No,No,Yes,No,No
29,2.87,Long,M,Yes,53,Yes,No,No,No,Yes,No,No
30,4.43,Medium,M,Yes,54,No,No,No,No,No,No,No
31,5.18,Medium,F,Yes,30,Yes,Yes,No,No,No,No,No
32,3.48,Short,F,No,50,Yes,Yes,No,No,No,Yes,No
33,2.28,Medium,F,Yes,44,No,Yes,No,No,Yes,No,No
34,2.67,Medium,F,Yes,56,Yes,No,No,No,No,Yes,No
35,6.15,Medium,F,No,43,Yes,Yes,No,No,Yes,Yes,No
36,6.67,Medium,F,Yes,43,No,No,No,No,Yes,No,No
37,4.54,Long,F,Yes,27,No,No,No,No,No,No,No
38,3.08,Long,M,Yes,39,No,No,No,No,No,Yes,No
39,4.11,Long,F,Yes,45,No,No,No,No,Yes,No,No
40,3.73,Short,M,Yes,38,No,No,No,No,No,No,No
41,8.13,Short,F,Yes,29,Yes,Yes,Yes,No,No,Yes,No
42,7.49,Long,F,No,42,No,No,No,No,Yes,Yes,No
43,5.91,Medium,M,No,50,Yes,No,Yes,No,No,Yes,No
44,4.56,Long,F,No,52,No,No,No,No,Yes,Yes,No
45,5.08,Medium,F,No,34,No,No,No,No,Yes,No,No
46,9.13,Long,M,Yes,51,Yes,Yes,Yes,No,Yes,Yes,No
47,3.24,Long,M,Yes,55,No,No,No,No,No,Yes,No
48,3.4,Medium,F,Yes,26,Yes,No,Yes,No,No,Yes,No
49,6.78,Long,M,Yes,43,Yes,No,No,No,No,Yes,No
50,8.19,Long,F,Yes,21,No,No,No,No,No,No,No
51,8.35,Long,F,No,37,No,No,No,No,No,No,No
52,2.18,Medium,F,No,24,No,Yes,Yes,No,No,Yes,Yes
53,6.85,Medium,F,No,41,No,No,No,No,No,No,No
54,9.02,Medium,F,No,23,Yes,No,No,No,No,No,No
55,6.03,Medium,M,No,40,No,No,No,No,No,No,No
56,5.73,Long,M,Yes,20,No,Yes,No,No,No,Yes,No
57,6.92,Short,M,No,28,Yes,Yes,Yes,No,No,Yes,No
58,3.38,Long,M,No,51,No,No,Yes,No,No,No,No
59,8.01,Long,M,No,37,Yes,No,No,No,No,Yes,No
60,5.98,Medium,M,No,39,No,No,No,No,Yes,No,No
61,5.43,Long,F,No,36,No,No,Yes,No,No,Yes,No
62,2.29,Long,F,Yes,40,Yes,Yes,Yes,No,No,Yes,No
63,8.04,Long,M,No,46,No,No,No,No,No,No,No
64,7.61,Medium,F,No,37,Yes,No,No,No,No,Yes,Yes
65,2.62,Long,F,No,42,No,Yes,Yes,No,Yes,Yes,No
66,4.26,Long,M,No,37,No,No,No,No,No,No,No
67,8.34,Long,M,Yes,46,No,No,No,No,Yes,No,No
68,5.06,Medium,M,Yes,46,Yes,Yes,No,No,No,Yes,Yes
69,4.78,Medium,M,No,51,Yes,Yes,Yes,No,No,Yes,No
70,6.03,Long,F,No,46,No,No,No,No,No,No,No
71,5.28,Short,F,No,29,No,No,No,No,No,No,No
72,7.59,Long,F,No,50,No,No,No,No,No,No,No
73,4.21,Medium,M,Yes,23,No,Yes,No,No,Yes,Yes,No
74,6.78,Medium,M,No,41,No,No,No,No,No,No,No
75,3.87,Long,F,Yes,40,No,Yes,No,No,Yes,Yes,Yes
76,7.63,Medium,F,No,51,No,No,No,No,Yes,No,No
77,5.7,Long,M,Yes,25,No,No,No,No,Yes,No,No
78,9.63,Short,M,No,35,No,Yes,Yes,No,No,Yes,No
79,5.55,Medium,M,Yes,45,No,No,No,No,No,No,No
80,3.64,Long,M,No,50,No,No,No,Yes,Yes,No,No
81,3.29,Medium,F,No,27,Yes,No,No,No,No,No,No
82,9.56,Long,M,No,54,Yes,Yes,No,No,No,Yes,No
83,3.37,Long,F,No,29,No,No,No,No,Yes,No,No
84,9.48,Long,M,Yes,47,Yes,Yes,No,No,No,Yes,No
85,2.34,Short,M,No,43,No,No,No,No,No,No,No
86,9.97,Long,M,Yes,46,Yes,Yes,No,No,No,Yes,No
87,6.4,Long,F,Yes,50,Yes,Yes,Yes,No,No,No,Yes
88,5.75,Short,M,No,39,Yes,Yes,No,No,No,Yes,Yes
89,7.97,Medium,M,No,24,Yes,No,No,Yes,No,No,No
90,7.97,Short,F,Yes,36,No,No,No,No,No,No,No
91,6.4,Short,F,Yes,44,No,No,No,No,No,No,Yes
92,7.67,Long,F,No,34,No,No,No,No,No,No,No
93,7.55,Long,M,No,38,Yes,No,No,No,Yes,Yes,No
94,3.3,Medium,F,No,52,No,No,No,No,Yes,No,Yes
95,8.34,Short,M,No,24,No,Yes,Yes,No,No,Yes,No
96,4.02,Medium,M,Yes,31,No,No,No,Yes,Yes,Yes,No
97,4.43,Medium,F,No,49,No,No,Yes,No,Yes,No,Yes
98,9.13,Long,F,Yes,31,No,Yes,No,No,Yes,Yes,No
99,6.12,Short,M,Yes,52,No,No,No,Yes,No,No,No
100,3.65,Long,M,Yes,29,No,No,No,No,No,No,No
101,2.37,Short,M,Yes,41,Yes,Yes,Yes,No,No,Yes,No
102,8.05,Long,F,Yes,48,No,No,No,No,No,Yes,No
103,9.23,Long,F,No,33,No,No,No,No,Yes,No,No
104,7.89,Medium,M,Yes,35,No,No,No,No,No,No,No
105,6.63,Short,F,No,39,Yes,No,Yes,No,No,No,No
106,2.43,Short,M,No,45,No,No,No,No,No,Yes,No
107,9.67,Long,M,Yes,44,No,Yes,No,No,No,Yes,No
108,8.61,Medium,M,Yes,33,No,No,No,No,Yes,No,No
109,9,Medium,M,No,35,Yes,No,No,No,No,No,No
110,6.41,Short,F,Yes,43,Yes,Yes,Yes,No,No,Yes,No
111,7.44,Long,F,No,26,Yes,No,No,No,No,Yes,No
112,2.61,Long,F,No,23,No,No,No,No,No,No,No
113,8.19,Medium,M,Yes,43,Yes,Yes,Yes,No,No,Yes,No
114,8.26,Medium,F,Yes,36,Yes,No,No,No,No,No,No
115,6.21,Medium,F,Yes,24,No,No,No,No,No,No,No
116,6.38,Short,F,Yes,47,No,Yes,Yes,No,No,Yes,Yes
117,2.9,Medium,M,No,51,No,No,No,No,Yes,No,No
118,6.18,Medium,F,Yes,25,Yes,No,No,Yes,Yes,No,No
119,3.82,Long,M,Yes,45,No,No,No,No,No,No,No
120,3.94,Long,F,No,30,No,No,No,No,No,No,No
121,9.73,Short,M,No,46,No,No,No,No,No,Yes,No
122,8.73,Medium,F,Yes,39,No,No,No,Yes,Yes,No,No
123,8.25,Short,F,Yes,27,No,Yes,Yes,No,No,Yes,No
124,7.4,Medium,M,No,54,No,No,No,No,Yes,No,No
125,6.55,Long,M,No,49,No,No,No,No,No,No,No
126,9.95,Long,F,No,38,Yes,Yes,No,No,No,Yes,No
127,5.08,Long,M,Yes,38,No,No,No,No,No,No,No
128,2.8,Medium,M,Yes,42,Yes,No,Yes,No,Yes,No,No
129,4.57,Medium,M,Yes,47,No,No,No,No,Yes,No,No
130,4.81,Short,M,No,27,No,No,No,No,No,No,No
131,8.35,Medium,F,No,49,No,No,No,No,No,No,No
132,8.37,Long,M,Yes,56,Yes,No,Yes,No,No,No,No
133,9.56,Short,M,No,32,Yes,Yes,No,No,No,Yes,No
