Record#,Elapsed_Time,Time_in_Community,Gender,Working,Age,Family,Hobbies,Social_Club,Political,Professional,Religious,Support_Group
1,6.86,Medium,F,Yes,25,No,Yes,No,No,No,No,No
2,9.34,Medium,M,No,32,No,No,No,No,Yes,No,No
3,9.52,Short,M,Yes,24,No,No,No,No,No,No,No
4,8.31,Long,F,Yes,44,No,No,Yes,No,No,No,No
5,2.64,Long,F,No,37,No,No,No,No,No,No,No
6,4.75,Short,F,No,44,No,No,Yes,No,Yes,Yes,No
7,3.72,Medium,F,No,35,No,No,No,No,No,No,No
8,2.55,Long,F,Yes,49,No,No,No,No,No,No,No
9,5.93,Short,F,Yes,29,No,No,No,No,No,No,No
10,2.81,Medium,F,Yes,31,No,No,No,No,No,No,Yes
11,8.7,Medium,M,No,31,No,No,No,No,Yes,No,No
12,8.3,Long,F,Yes,25,No,No,No,No,No,Yes,No
13,9.92,Long,M,Yes,31,No,No,No,No,No,Yes,No
14,5.05,Short,F,Yes,29,Yes,Yes,Yes,No,Yes,Yes,Yes
15,3.82,Medium,M,Yes,54,No,No,No,No,Yes,Yes,No
16,9.59,Long,F,Yes,25,No,No,No,No,No,No,No
17,4.48,Medium,M,Yes,24,No,No,Yes,No,No,No,No
18,2.59,Medium,F,No,37,No,No,No,No,Yes,No,No
19,5.08,Medium,F,No,34,No,No,No,No,Yes,No,No
20,7.9,Short,F,No,30,No,No,No,No,No,No,No
21,7.82,Long,F,No,19,No,No,No,No,No,No,No
22,9.24,Long,M,No,39,No,No,No,No,Yes,No,No
23,9.97,Short,M,No,54,Yes,No,Yes,No,No,Yes,No
24,6.42,Short,F,Yes,49,No,Yes,No,No,No,Yes,No
25,8.68,Medium,F,No,18,Yes,No,No,No,No,No,No
26,5.83,Short,M,Yes,23,Yes,No,Yes,Yes,No,Yes,No
27,3.41,Short,M,No,27,No,Yes,No,Yes,No,Yes,No
28,5.99,Long,F,No,50,No,No,No,No,No,Yes,No
29,7.58,Medium,M,No,43,No,No,No,No,No,Yes,No
30,4.49,Medium,M,No,40,Yes,Yes,No,No,No,Yes,No
31,7.01,Medium,F,No,37,Yes,Yes,Yes,No,No,Yes,No
32,7.72,Short,M,No,26,Yes,No,No,No,No,No,No
