User_ID,Gender,Age,Marital_Status,Website_Activity,Browsed_Electronics_12Mo,Bought_Electronics_12Mo,Bought_Digital_Media_18Mo,Bought_Digital_Books,Payment_Method
65341,F,32,S,Seldom,Yes,No,Yes,No,'Website Account'
41667,F,49,M,Regular,Yes,Yes,Yes,Yes,'Bank Transfer'
56031,M,57,S,Regular,Yes,Yes,Yes,Yes,'Bank Transfer'
79050,M,66,M,Regular,Yes,Yes,Yes,No,'Bank Transfer'
75706,F,31,M,Seldom,Yes,No,Yes,No,'Monthly Billing'
41234,F,56,S,Seldom,Yes,No,Yes,No,'Monthly Billing'
63405,F,55,S,Seldom,Yes,No,Yes,No,'Website Account'
89231,F,52,S,Seldom,Yes,Yes,Yes,Yes,'Bank Transfer'
20677,F,46,S,Seldom,Yes,No,Yes,No,'Monthly Billing'
35417,M,28,M,Regular,No,No,Yes,No,'Monthly Billing'
18836,F,51,M,Seldom,Yes,Yes,Yes,No,'Bank Transfer'
18272,F,29,M,Seldom,Yes,Yes,Yes,No,'Bank Transfer'
46304,M,33,S,Seldom,Yes,No,Yes,No,'Website Account'
77373,M,17,M,Seldom,Yes,No,Yes,No,'Credit Card'
76548,F,52,M,Regular,Yes,Yes,No,No,'Bank Transfer'
61803,F,49,M,Seldom,Yes,No,Yes,No,'Bank Transfer'
65242,M,45,S,Seldom,Yes,No,No,Yes,'Bank Transfer'
46740,M,58,S,Seldom,Yes,No,Yes,No,'Website Account'
62033,M,56,M,Seldom,Yes,No,Yes,Yes,'Website Account'
77172,M,51,S,Frequent,Yes,Yes,Yes,Yes,'Website Account'
90036,F,52,S,Seldom,Yes,Yes,No,Yes,'Bank Transfer'
34406,M,34,M,Seldom,Yes,No,Yes,No,'Monthly Billing'
38914,M,48,M,Regular,Yes,No,No,No,'Credit Card'
95027,F,36,S,Seldom,Yes,Yes,Yes,No,'Website Account'
25913,F,51,M,Regular,Yes,Yes,No,No,'Bank Transfer'
85169,F,28,M,Seldom,Yes,No,Yes,No,'Monthly Billing'
40897,M,23,M,Regular,Yes,Yes,Yes,Yes,'Website Account'
90036,F,52,S,Seldom,Yes,Yes,No,Yes,'Bank Transfer'
85198,M,59,M,Frequent,Yes,No,Yes,No,'Website Account'
89513,M,44,M,Seldom,Yes,Yes,Yes,Yes,'Bank Transfer'
12784,F,44,M,Regular,Yes,Yes,Yes,Yes,'Website Account'
17505,F,57,S,Seldom,Yes,No,Yes,Yes,'Credit Card'
22923,F,50,S,Seldom,Yes,Yes,No,Yes,'Monthly Billing'
27193,M,17,M,Seldom,Yes,No,Yes,No,'Credit Card'
20677,F,46,S,Seldom,Yes,No,Yes,No,'Monthly Billing'
89822,F,63,M,Seldom,Yes,Yes,Yes,Yes,'Monthly Billing'
79906,M,44,M,Seldom,Yes,Yes,Yes,No,'Website Account'
27878,M,66,M,Seldom,Yes,Yes,Yes,Yes,'Website Account'
82405,M,30,M,Regular,Yes,Yes,Yes,No,'Website Account'
20313,M,52,S,Frequent,Yes,Yes,Yes,Yes,'Website Account'
43668,F,41,S,Regular,Yes,Yes,Yes,Yes,'Bank Transfer'
18228,F,52,M,Seldom,Yes,No,Yes,No,'Bank Transfer'
27852,M,37,S,Seldom,Yes,No,Yes,No,'Bank Transfer'
54445,F,33,M,Regular,Yes,No,Yes,No,'Website Account'
70317,F,54,S,Regular,Yes,Yes,No,No,'Bank Transfer'
67067,M,33,M,Seldom,Yes,Yes,Yes,Yes,'Website Account'
